Date,Prediction,Actual
1/30/2024,160.00,159.00
1/31/2024,157.50,155.20
2/1/2024,158.00,159.28
2/2/2024,171.50,171.81
2/5/2024,170.00,170.31
2/6/2024,170.00,169.15
2/7/2024,170.00,170.53
2/8/2024,171.00,169.84
2/9/2024,173.50,174.45
2/12/2024,174.00,172.34
2/13/2024,168.50,168.64
2/14/2024,170.50,170.98
2/15/2024,170.00,169.80
2/16/2024,169.50,169.51
2/20/2024,167.50,167.08
2/21/2024,169.00,168.59
2/22/2024,174.00,174.58
2/23/2024,175.00,174.99
2/26/2024,176.00,174.73
2/27/2024,174.00,173.54
2/28/2024,173.00,173.16
