Date,Prediction,Actual
1/30/2024,410.20 ,408.589996
1/31/2024,400.35 ,397.579987
2/1/2024,406.28 ,403.779999
2/2/2024,410.00 ,411.220001
2/5/2024,407.63 ,405.649994
2/6/2024,405.00 ,405.48999
2/7/2024,413.10 ,414.049988
2/8/2024,415.00 ,414.109985
2/9/2024,419.00 ,420.549988
2/12/2024,417.50 ,415.26001
2/13/2024,404.60 ,406.320007
2/14/2024,409.65 ,409.48999
2/15/2024,407.00 ,406.559998
2/16/2024,406.00 ,404.059998
2/20/2024,401.70 ,402.790009
2/21/2024,398.00 ,402.179993
2/22/2024,411.50 ,411.649994
2/26/2024,407.50 ,407.540009
2/27/2024,406.50 ,407.480011
2/28/2024,408.50 ,407.720001
