Date,Prediction,Actual
1/30/2024,190.40 ,188.04
1/31/2024,184.43 ,184.40
2/1/2024,183.18 ,186.86
2/2/2024,184.30 ,185.85
2/5/2024,186.53 ,187.68
2/6/2024,188.47 ,189.30
2/7/2024,189.92 ,189.41
2/8/2024,188.17 ,188.32
2/9/2024,186.88 ,188.85
2/12/2024,188.11 ,187.15
2/13/2024,183.60 ,185.04
2/14/2024,184.74 ,184.15
2/15/2024,183.31 ,183.86
2/16/2024,184.25 ,182.31
2/20/2024,181.40 ,181.56
2/21/2024,182.77 ,182.32
2/22/2024,183.47 ,184.37
2/23/2024,183.43 ,182.52
2/26/2024,181.95 ,181.16
2/27/2024,181.65 ,182.63
2/28/2024,181.97 ,181.42
