Date,Prediction,Actual
1/30/2024,151.95 ,153.05
1/31/2024,141.46 ,141.80
2/1/2024,141.99 ,142.71
2/2/2024,141.46 ,143.54
2/5/2024,144.34 ,144.93
2/6/2024,144.58 ,145.41
2/7/2024,144.68 ,146.68
2/8/2024,145.53 ,147.22
2/9/2024,148.10 ,150.22
2/12/2024,148.79 ,148.73
2/13/2024,145.43 ,146.37
2/14/2024,145.03 ,147.14
2/15/2024,142.37 ,143.94
2/16/2024,142.38 ,141.76
2/20/2024,140.76 ,142.20
2/21/2024,141.84 ,143.84
2/22/2024,144.55 ,145.32
2/23/2024,143.51 ,145.29
2/26/2024,139.99 ,138.75
2/27/2024,137.28 ,140.10
2/28/2024,136.11 ,137.43
