Date,Prediction,Actual
1/30/2024,193.70 ,191.59
1/31/2024,190.77 ,187.29
2/1/2024,187.48 ,188.86
2/2/2024,184.15 ,187.91
2/5/2024,181.96 ,181.06
2/6/2024,179.96 ,185.10
2/7/2024,188.18 ,187.58
2/8/2024,190.24 ,189.56
2/9/2024,191.23 ,193.57
2/12/2024,192.89 ,188.13
2/13/2024,186.37 ,184.02
2/14/2024,186.90 ,188.71
2/15/2024,192.13 ,200.45
2/16/2024,202.12 ,199.95
2/20/2024,194.97 ,193.76
2/21/2024,194.14 ,194.77
2/22/2024,196.20 ,197.41
2/23/2024,195.46 ,191.97
2/26/2024,198.02 ,199.40
2/27/2024,203.77 ,199.73
2/28/2024,201.59 ,202.04
